"","x"
"1",64416
"2",130178
"3",45221
"4",137087
"5",150946
"6",142318
"7",101708
"8",22814
"9",112722
"10",28582
"11",105221
"12",93616
"13",57285
"14",61570
"15",96506
"16",69733
"17",67070
"18",74832
"19",46190
"20",45216
"21",98867
"22",185769
"23",120506
"24",125157
"25",89948
"26",127658
"27",53529
"28",120296
"29",45316
"30",167791
"31",770
"32",3024
"33",185905
"34",129772
"35",170414
"36",110989
"37",150028
"38",94951
"39",17170
"40",138017
"41",41984
"42",59937
"43",92571
"44",9546
"45",141345
"46",163012
"47",16337
"48",108079
"49",82233
"50",105962
"51",7497
"52",128244
"53",162846
"54",30814
"55",123454
"56",154845
"57",50525
"58",70447
"59",81493
"60",160050
"61",133595
"62",89791
"63",60967
"64",66330
"65",132359
"66",88030
"67",160468
"68",18381
"69",157603
"70",60990
"71",98642
"72",46961
"73",35794
"74",132273
"75",118224
"76",14892
"77",175974
"78",47916
"79",164187
"80",152379
"81",63014
"82",44065
"83",138214
"84",99898
"85",34877
"86",104260
"87",176648
"88",192495
"89",36200
"90",111395
"91",89953
"92",122704
"93",132181
"94",90127
"95",37593
"96",185733
"97",17135
"98",170808
"99",44598
"100",117536
"101",83123
"102",16672
"103",49756
"104",89188
"105",116724
"106",168268
"107",535
"108",131707
"109",126091
"110",75257
"111",102284
"112",112482
"113",161302
"114",49357
"115",13066
"116",115411
"117",146114
"118",15635
"119",30210
"120",157999
"121",75024
"122",73435
"123",65159
"124",98229
"125",129786
"126",46670
"127",177237
"128",60688
"129",85859
"130",86745
"131",120201
"132",174086
"133",42551
"134",23610
"135",21184
"136",4333
"137",5080
"138",173852
"139",66393
"140",94238
"141",109566
"142",103489
"143",110158
"144",89079
"145",131823
"146",112828
"147",4699
"148",131580
"149",56766
"150",21357
"151",25542
"152",89520
"153",69432
"154",122263
"155",124890
"156",26717
"157",127609
"158",175997
"159",81109
"160",30979
"161",124456
"162",185923
"163",97666
"164",93655
"165",189293
"166",38573
"167",77254
"168",124014
"169",37014
"170",151755
"171",108821
"172",145618
"173",4884
"174",36650
"175",11627
"176",65584
"177",86797
"178",137280
"179",40415
"180",80571
"181",191605
"182",77007
"183",52739
"184",154324
"185",86223
"186",16258
"187",107918
"188",183616
"189",109422
"190",160682
"191",118508
"192",53480
"193",173857
"194",142817
"195",81404
"196",190733
"197",166665
"198",84796
"199",84223
"200",64558
"201",129168
"202",8007
"203",27778
"204",96111
"205",119388
"206",191682
"207",75148
"208",93846
"209",91110
"210",102585
"211",38131
"212",1079
"213",149572
"214",96987
"215",78550
"216",68769
"217",45333
"218",92130
"219",165090
"220",47176
"221",89304
"222",106205
"223",86983
"224",29613
"225",176167
"226",115452
"227",135052
"228",106505
"229",173071
"230",90639
"231",103804
"232",131923
"233",163146
"234",34047
"235",186148
"236",150226
"237",68657
"238",148869
"239",108997
"240",109501
"241",57027
"242",2832
"243",173971
"244",38041
"245",188321
"246",126009
"247",48269
"248",85581
"249",182325
"250",158685
"251",176068
"252",11301
"253",53500
"254",100190
"255",101174
"256",164282
"257",19486
"258",58647
"259",56814
"260",136132
"261",77091
"262",54802
"263",115220
"264",129344
"265",101696
"266",149779
"267",10612
"268",32571
"269",174010
"270",79417
"271",113009
"272",8001
"273",164045
"274",180536
"275",14198
"276",122963
"277",186894
"278",6075
"279",28407
"280",113103
"281",49199
"282",169952
"283",77477
"284",1066
"285",123936
"286",166869
"287",116034
"288",103752
"289",5220
"290",143977
"291",35660
"292",93624
"293",2746
"294",54453
"295",102679
"296",27961
"297",20326
"298",185044
"299",188016
"300",147848
"301",87228
"302",173360
"303",145011
"304",167083
"305",56513
"306",104188
"307",176803
"308",93886
"309",2521
"310",89361
"311",26062
"312",168081
"313",179643
"314",44312
"315",165500
"316",189309
"317",44710
"318",166680
"319",66129
"320",113624
"321",34386
"322",50829
"323",106583
"324",84489
"325",7260
"326",62989
"327",173251
"328",175459
"329",109396
"330",68767
"331",16854
"332",184707
"333",96636
"334",103154
"335",66683
"336",110272
"337",102026
"338",111435
"339",143418
"340",99834
"341",181828
"342",177633
"343",161944
"344",138110
"345",67246
"346",185906
"347",19656
"348",191638
"349",94363
"350",137756
"351",12275
"352",125526
"353",109734
"354",157982
"355",92169
"356",83559
"357",39656
"358",154188
"359",11509
"360",80560
"361",153582
"362",182955
"363",18569
"364",27749
"365",116935
"366",87544
"367",63048
"368",154957
"369",51370
"370",40594
"371",132128
"372",48307
"373",37354
"374",158508
"375",145445
"376",82884
"377",46659
"378",156010
"379",192224
"380",27769
"381",70738
"382",24094
"383",121772
"384",50871
"385",57618
"386",46735
"387",42722
"388",72023
"389",131466
"390",92569
"391",76651
"392",18457
"393",192603
"394",77639
"395",169853
"396",173002
"397",129501
"398",103532
"399",158134
"400",144437
"401",75666
"402",161828
"403",150456
"404",112634
"405",96769
"406",145337
"407",132266
"408",16655
"409",4892
"410",145338
"411",110317
"412",119448
"413",21509
"414",77174
"415",32434
"416",186463
"417",118471
"418",25681
"419",55155
"420",73212
"421",61934
"422",130207
"423",160731
"424",184951
"425",94974
"426",115604
"427",51354
"428",29390
"429",31570
"430",109820
"431",112448
"432",172103
"433",18490
"434",169037
"435",177419
"436",3436
"437",73179
"438",184631
"439",94213
"440",64941
"441",67695
"442",153678
"443",121252
"444",151349
"445",14026
"446",165145
"447",23688
"448",25885
